age,job,marital,education
56,blue-collar,married,secondary
32,management,single,tertiary
58,retired,divorced,primary
33,housemaid,single,tertiary
43,blue-collar,married,primary
41,management,married,tertiary
60,retired,single,tertiary
32,blue-collar,married,secondary
45,admin.,divorced,secondary
24,admin.,single,secondary
48,technician,married,secondary
50,services,married,primary
41,management,married,tertiary
40,technician,divorced,secondary
47,unemployed,married,primary
31,technician,divorced,secondary
61,retired,married,tertiary
51,blue-collar,married,primary
53,management,married,tertiary
56,blue-collar,married,primary
35,admin.,married,secondary
27,admin.,single,tertiary
54,management,divorced,tertiary
49,blue-collar,married,primary
34,blue-collar,married,primary
35,unemployed,married,primary
37,unemployed,single,secondary
26,blue-collar,single,primary
44,services,single,secondary
72,self-employed,married,tertiary
38,management,married,tertiary
44,admin.,married,secondary
54,admin.,married,secondary
38,blue-collar,married,secondary
30,admin.,single,secondary
37,technician,married,secondary
54,blue-collar,married,primary
36,unemployed,single,tertiary
36,blue-collar,married,primary
44,blue-collar,married,primary
61,retired,married,secondary
35,management,married,tertiary
52,unemployed,married,secondary
31,blue-collar,married,secondary
59,unemployed,married,secondary
31,housemaid,single,tertiary
33,management,single,tertiary
32,technician,single,tertiary
28,blue-collar,single,secondary
45,technician,married,secondary
33,management,married,tertiary
32,entrepreneur,married,tertiary
53,housemaid,married,primary
51,retired,married,secondary
47,management,single,tertiary
36,housemaid,divorced,tertiary
20,student,single,secondary
53,management,married,secondary
34,technician,divorced,secondary
34,technician,single,secondary
52,blue-collar,single,primary
29,blue-collar,single,tertiary
49,entrepreneur,married,secondary
36,management,married,primary
29,blue-collar,single,secondary
25,admin.,single,secondary
49,entrepreneur,divorced,primary
40,management,married,tertiary
43,entrepreneur,single,tertiary
34,management,single,tertiary
28,self-employed,single,tertiary
47,blue-collar,married,primary
27,management,single,tertiary
45,admin.,married,secondary
56,technician,married,secondary
52,blue-collar,married,primary
31,technician,single,tertiary
43,management,married,tertiary
36,unemployed,married,tertiary
35,blue-collar,married,secondary
33,technician,single,tertiary
36,blue-collar,married,secondary
30,blue-collar,married,primary
23,student,single,secondary
50,services,married,secondary
48,management,divorced,tertiary
51,blue-collar,divorced,primary
45,admin.,married,secondary
23,blue-collar,single,secondary
45,housemaid,married,tertiary
43,blue-collar,married,primary
59,blue-collar,married,secondary
43,blue-collar,divorced,primary
50,management,single,tertiary
36,services,single,tertiary
31,blue-collar,single,secondary
60,housemaid,married,primary
48,services,divorced,secondary
42,admin.,married,secondary
43,management,married,tertiary
29,technician,married,secondary
43,technician,married,tertiary
32,self-employed,married,tertiary
33,technician,married,tertiary
35,technician,divorced,tertiary
32,admin.,married,secondary
63,admin.,married,secondary
39,technician,single,secondary
44,management,married,tertiary
51,services,married,secondary
36,technician,married,tertiary
32,services,married,secondary
